V,14/08/18,21:30:00,(C),Criciúma,3-1,Série B 2018,R21
V,07/08/18,21:30:00,(F),Paysandu,0-4,Série B 2018,R20
E,04/08/18,19:00:00,(C),Avaí,2-2,Série B 2018,R19
E,28/07/18,19:00:00,(F),Coritiba,0-0,Série B 2018,R18
D,24/07/18,20:30:00,(C),Juventude,0-1,Série B 2018,R17
D,21/07/18,19:00:00,(F),Boa Esporte,2-1,Série B 2018,R16
V,14/07/18,18:00:00,(F),São Bento,0-2,Série B 2018,R15
V,08/07/18,18:00:00,(C),Fortaleza,2-0,Série B 2018,R14
V,30/06/18,18:00:00,(F),Figueirense,0-2,Série B 2018,R13
E,19/06/18,19:15:00,(C),CSA,1-1,Série B 2018,R12
D,15/06/18,21:30:00,(F),CRB,2-0,Série B 2018,R11
V,09/06/18,21:00:00,(F),GE Brasil,0-2,Série B 2018,R10
V,05/06/18,21:30:00,(C),Goiás,2-1,Série B 2018,R9
E,02/06/18,19:00:00,(C),Oeste,1-1,Série B 2018,R8
D,28/05/18,20:00:00,(F),Sampaio Corrêa,1-0,Série B 2018,R7
D,19/05/18,16:30:00,(C),Atlético Goianiense,1-3,Série B 2018,R6
E,13/05/18,16:00:00,(F),Vila Nova,0-0,Série B 2018,R5
E,10/05/18,19:30:00,(F),Flamengo,0-0,Copa do Brasil 2018,01/08/21
V,05/05/18,19:00:00,(F),Guarani,2-3,Série B 2018,R4
D,02/05/18,19:30:00,(C),Flamengo,0-1,Copa do Brasil 2018,01/08/21
D,28/04/18,19:00:00,(C),Londrina,0-1,Série B 2018,R3
V,21/04/18,19:00:00,(F),Criciúma,0-1,Série B 2018,R2
D,18/04/18,21:45:00,(F),Náutico,1-0,Copa do Brasil 2018,4F
D,14/04/18,21:00:00,(C),Paysandu,0-1,Série B 2018,R1
V,11/04/18,21:45:00,(C),Náutico,3-0,Copa do Brasil 2018,4F
V,03/04/18,20:00:00,(C),Mirassol,1-0,Paulista 2018, 
E,29/03/18,18:30:00,(F),Mirassol,1-1,Paulista 2018, 
D,24/03/18,19:00:00,(F),São Bento,3-1,Paulista 2018,Grp.2
V,21/03/18,19:00:00,(C),Mirassol,2-0,Paulista 2018,Grp.2
V,18/03/18,19:00:00,(F),Ferroviária,0-2,Paulista 2018,Grp.2
E,15/03/18,19:15:00,(F),Sampaio Corrêa,0-0,Copa do Brasil 2018,3F
E,11/03/18,17:00:00,(C),Ferroviária,0-0,Paulista 2018,Grp.C
E,08/03/18,21:30:00,(F),Red Bull Brasil,0-0,Paulista 2018,Grp.D
D,05/03/18,20:00:00,(C),Bragantino,0-1,Paulista 2018,Grp.B
E,28/02/18,19:30:00,(C),Sampaio Corrêa,0-0,Copa do Brasil 2018,3F
D,25/02/18,19:30:00,(F),Mirassol,1-0,Paulista 2018,Grp.D
V,21/02/18,21:45:00,(C),Inter de Limeira,1-0,Copa do Brasil 2018,2F
E,18/02/18,19:30:00,(C),Palmeiras,0-0,Paulista 2018,Grp.C
E,14/02/18,19:30:00,(F),Botafogo-SP,1-1,Paulista 2018,Grp.D
